entreprise,statut,detail
Coca-Cola,OK,coca_cola.svg (Wikidata P154 / Q3295867)
Ferrero,OK,ferrero.svg (Wikidata P154 / Q269792)
Mars,OK,mars.svg (Wikidata P154 / Q695087)
Kraft Foods,OK,kraft_foods.svg (Wikidata P154 / Q327751)
Cadbury,OK*,cadbury.svg (Wikipedia fallback)
Danone,OK,danone.png (Wikidata P154 / Q329426)
Lactalis,OK,lactalis.svg (Wikidata P154 / Q1799825)
Brossard,OK*,brossard.png (Wikipedia fallback)
McCain,OK,mccain.svg (Wikidata P154 / Q944414)
Heineken,OK,heineken.svg (Wikidata P154 / Q854383)
Roquette,FAIL,non trouvé
Unilever,OK,unilever.svg (Wikidata P154 / Q157062)
Reckitt Benckiser,OK,reckitt_benckiser.svg (Wikidata P154 / Q1190881)
Valeo,OK,valeo.svg (Wikidata P154 / Q1305281)
Audi,OK,audi.svg (Wikidata P154 / Q23317)
Renault,OK,renault.svg (Wikidata P154 / Q6686)
BMW,OK,bmw.svg (Wikidata P154 / Q26678)
Michelin,OK,michelin.svg (Wikidata P154 / Q151107)
Nexans,OK,nexans.svg (Wikidata P154 / Q141644)
WABCO,OK,wabco.png (Wikidata P154 / Q3257938)
Plastic Omnium,OK,plastic_omnium.svg (Wikidata P154 / Q3391735)
Zodiac Aerospace,OK,zodiac_aerospace.png (Wikidata P154 / Q218139)
Thales,OK,thales.svg (Wikidata P154 / Q1161666)
Rolls-Royce,OK,rolls_royce.svg (Wikidata P154 / Q243278)
Safran,OK,safran.svg (Wikidata P154 / Q1886126)
Sogefi,OK,sogefi.svg (Wikidata P154 / Q1023749)
Siemens,OK,siemens.svg (Wikidata P154 / Q81230)
Nokia,OK,nokia.svg (Wikidata P154 / Q1418)
Bouygues Telecom,OK,bouygues_telecom.svg (Wikidata P154 / Q581438)
Total,OK,total.svg (Wikidata P154 / Q154037)
ITER,OK,iter.svg (Wikidata P154 / Q191788)
Eiffage,OK,eiffage.svg (Wikidata P154 / Q1302944)
SPIE,FAIL,non trouvé
Cemex,OK,cemex.svg (Wikidata P154 / Q1053348)
Bilfinger,OK,bilfinger.jpg (Wikidata P154 / Q284672)
IDEX,OK,idex.svg (Wikidata P154 / Q1758392)
Manitou,OK,manitou.svg (Wikidata P154 / Q599791)
PwC,OK,pwc.svg (Wikidata P154 / Q488048)
EY,OK,ey.svg (Wikidata P154 / Q489097)
Booz Allen Hamilton,OK,booz_allen_hamilton.svg (Wikidata P154 / Q893221)
Lowendal Masai,FAIL,non trouvé
Xchanging,OK*,xchanging.jpg (Wikipedia fallback)
Institut Pasteur,OK,institut_pasteur.svg (Wikidata P154 / Q391083)
Cephalon,FAIL,non trouvé
Famar,FAIL,non trouvé
Sorin Group,FAIL,non trouvé
Vetoquinol,FAIL,non trouvé
L'Oreal,OK,l_oreal.svg (Wikidata P154 / Q156077)
Groupe Rocher,OK,groupe_rocher.png (Wikidata P154 / Q28496595)
LVMH,OK,lvmh.svg (Wikidata P154 / Q504998)
Swarovski,OK,swarovski.svg (Wikidata P154 / Q611115)
Lacoste,OK,lacoste.svg (Wikidata P154 / Q309031)
SNCF,OK*,sncf.svg (Wikipedia fallback)
STEF,FAIL,non trouvé
TNT,OK,tnt.svg (Wikidata P154 / Q1105744)
ID Logistics,OK,id_logistics.svg (Wikidata P154 / Q113838568)
JCDecaux,OK,jcdecaux.svg (Wikidata P154 / Q74877)
Kingfisher,OK,kingfisher.png (Wikidata P154 / Q683098)
Henkel,OK,henkel.svg (Wikidata P154 / Q276507)
SPX,OK,spx.svg (Wikidata P154 / Q2207629)
Federal-Mogul,OK,federal_mogul.svg (Wikidata P154 / Q289761)
Wavin,OK,wavin.svg (Wikidata P154 / Q1786336)
JohnsonDiversey,FAIL,non trouvé
Sodexo,OK,sodexo.svg (Wikidata P154 / Q1475554)
LSG Sky Chefs,OK,lsg_sky_chefs.svg (Wikidata P154 / Q648408)
Allianz,OK,allianz.svg (Wikidata P154 / Q487292)
Groupama,OK,groupama.svg (Wikidata P154 / Q3083531)
Orlen,OK,orlen.svg (Wikidata P154 / Q971649)
Essilor,OK,essilor.svg (Wikidata P154 / Q56853086)
Celia,FAIL,non trouvé
Wedel,OK,wedel.svg (Wikidata P154 / Q1273613)
Logista,OK,logista.svg (Wikidata P154 / Q28226300)
Manuloc,OK*,manuloc.jpg (Wikipedia fallback)
ICG Commerce,FAIL,non trouvé
